TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
8:47 AM,DL1017,Portland (PWM),Delta Air Lines,A320 (N355NW),,Landed 8:31 AM
8:47 AM,DL1624,Memphis (MEM),Delta Air Lines,B739 (N815DN),,Landed 8:26 AM
8:48 AM,NK2457,Orlando (MCO),Spirit Airlines,A21N (N741NK),,Landed 8:23 AM
8:49 AM,DL1204,Kansas City (MCI),Delta Air Lines,B739 (N821DN),,Landed 8:38 AM
8:49 AM,DL1352,West Palm Beach (PBI),Delta Air Lines,A321 (N351DN),,Landed 8:57 AM
8:49 AM,NK2465,New Orleans (MSY),Spirit Airlines,A320 (N697NK),,Landed 8:43 AM
8:50 AM,DL330,Washington (DCA),Delta Air Lines,A320 (N337NW),,Landed 8:36 AM
8:51 AM,DL1073,San Antonio (SAT),Delta Air Lines,A321 (N315DN),,Landed 8:38 AM
8:53 AM,DL1062,Minneapolis (MSP),Delta Air Lines,B753 (N596NW),,Landed 8:44 AM
8:53 AM,DL1160,Madison (MSN),Delta Air Lines,B712 (N923AT),,Landed 8:25 AM
8:53 AM,DL1534,New Orleans (MSY),Delta Air Lines,B752 (N6707A),,Landed 8:41 AM
8:53 AM,DL2727,Des Moines (DSM),Delta Air Lines,B712 (N963AT),,Landed 8:27 AM
8:53 AM,DL3106,Indianapolis (IND),Delta Air Lines,B739 (N948DZ),,Landed 8:52 AM
8:53 AM,DL5487,Bloomington (BMI),Delta Connection,CRJ9 (N901XJ),,Landed 8:36 AM
8:54 AM,DL1436,Appleton (ATW),Delta Air Lines,B712 (N603AT),,Landed 8:46 AM
8:55 AM,DL2216,Wichita (ICT),Delta Air Lines,B712 (N922AT),,Landed 8:27 AM
8:55 AM,DL5525,Lafayette (LFT),Delta Connection,CRJ9 (N607LR),,Landed 8:21 AM
8:55 AM,ET518,Rome (FCO),Ethiopian Airlines,B789 (ET-AYC),,Landed 8:15 AM
8:56 AM,DL2033,Burlington (BTV),Delta Air Lines,B738 (N375DA),,Landed 8:24 AM
8:56 AM,DL4937,Moline (MLI),Delta Connection,CRJ9 (N928XJ),,Landed 8:41 AM
8:57 AM,DL3926,Springfield (SGF),American Eagle,CRJ7 (N738SK),,Landed 8:25 AM
8:58 AM,DL5122,Bentonville (XNA),Delta Connection,CRJ9 (N315PQ),,Landed 8:43 AM
8:59 AM,DL516,Dallas (DAL),Delta Air Lines,B712 (N992AT),,Landed 8:33 AM
8:59 AM,DL1211,Miami (MIA),Delta Air Lines,B752 (N668DN),,Landed 8:40 AM
8:59 AM,DL2518,Cedar Rapids (CID),Delta Air Lines,B738 (N393DA),,Landed 8:45 AM
8:59 AM,DL2838,Cleveland (CLE),Delta Air Lines,B739 (N833DN),,Landed 8:33 AM
8:59 AM,DL3725,Shreveport (SHV),Delta Connection,CRJ9 (N548CA),,Landed 8:35 AM
9:00 AM,DL1259,Tulsa (TUL),Delta Air Lines,B712 (N944AT),,Landed 8:48 AM
9:00 AM,DL1344,Austin (AUS),Delta Air Lines,A321 (N390DN),,Landed 8:36 AM
9:00 AM,DL2400,Chicago (MDW),Delta Air Lines,B712 (N997AT),,Landed 8:37 AM
9:00 AM,DL5162,Alexandria (AEX),Delta Connection,CRJ7 (N398CA),,Landed 8:54 AM
9:00 AM,WN437,Chicago (MDW),Southwest Airlines,B737 (N269WN),,Landed 8:47 AM
9:02 AM,B6519,New York (JFK),JetBlue,A320 (N568JB),,Landed 8:37 AM
9:03 AM,F94817,New York (JFK),Frontier (Baja the Whale Shark Livery),A20N (N342FR),,Landed 8:54 AM
9:03 AM,DL9980,Atlanta (ATL),Delta Air Lines,A321 (N324DX),,Landed 9:34 AM
9:06 AM,DL1354,Washington (IAD),Delta Air Lines,BCS3 (N301DU),,Landed 8:45 AM
9:08 AM,DL2557,Houston (HOU),Delta Air Lines,B712 (N955AT),,Landed 8:55 AM
9:09 AM,AA5523,Philadelphia (PHL),American Eagle,CRJ9 (N589NN),,Canceled
9:09 AM,F93022,Dallas (DFW),Frontier (Joaquin the Kit Fox Livery),A20N (N387FR),,Landed 8:58 AM
9:11 AM,DL1072,Key West (EYW),Delta Air Lines,A319 (N362NB),,Landed 8:51 AM
9:11 AM,DL3129,Pensacola (PNS),Delta Air Lines,B752 (N659DL),,Landed 9:08 AM
9:13 AM,AA3615,Dallas (DFW),American Eagle,E75L (N267NN),,Landed 9:35 AM
9:15 AM,DL2478,Raleigh-Durham (RDU),Delta Air Lines,B739 (N936DZ),,Landed 8:58 AM
9:15 AM,F93287,New York (LGA),Frontier (Jo Jo the Grizzly Bear Livery),A20N (N335FR),,Landed 8:29 AM
9:15 AM,NK2170,Houston (IAH),Spirit Airlines,A320 (N629NK),,Landed 9:04 AM
9:16 AM,DL342,New York (LGA),Delta Air Lines,A321 (N377DN),,Landed 9:09 AM
9:16 AM,UA2304,New York (EWR),United Airlines,B39M (N77580),,Landed 8:55 AM
9:19 AM,DL1673,New York (EWR),Delta Air Lines,A321 (N359DN),,Canceled
9:20 AM,DL1712,Destin Fort Walton Beach (VPS),Delta Air Lines,B739 (N959DZ),,Landed 9:12 AM
9:22 AM,F91404,Houston (IAH),Frontier (Sammy the Squirrel Livery),A320 (N232FR),,Landed 11:36 AM
9:23 AM,DL1486,Tampa (TPA),Delta Air Lines,B752 (N689DL),,Landed 9:24 AM
9:24 AM,DL2802,Nashville (BNA),Delta Air Lines,B739 (N957DZ),,Landed 9:02 AM
9:26 AM,DL1369,Birmingham (BHM),Delta Air Lines,B739 (N958DZ),,Landed 9:00 AM
9:29 AM,F92292,Chicago (MDW),Frontier (Wiley the Bison Livery),A20N (N313FR),,Landed 8:57 AM
9:30 AM,F92633,Baltimore (BWI),Frontier (Junior the Lynx Livery),A20N (N330FR),,Landed 8:51 AM
9:30 AM,WN2003,Dallas (DAL),Southwest Airlines (Canyon Blue Retro Livery),B38M (N872CB),,Landed 9:25 AM
9:31 AM,DL2554,Windsor Locks (BDL),Delta Air Lines,A321 (N347DN),,Landed 9:01 AM
9:31 AM,DL2569,Jacksonville (JAX),Delta Air Lines,B752 (N544US),,Landed 9:13 AM
9:32 AM,DL923,Boston (BOS),Delta Air Lines,B752 (N709TW),,Landed 9:04 AM
9:32 AM,DL1915,Charlotte (CLT),Delta Air Lines,B712 (N993AT),,Landed 9:11 AM
9:32 AM,XP393,New Haven (HVN),Avelo Airlines,B737 (N721VL),,Landed 9:00 AM
9:35 AM,DL1326,Fort Lauderdale (FLL),Delta Air Lines,B753 (N585NW),,Landed 9:10 AM
9:35 AM,DL1396,Little Rock (LIT),Delta Air Lines,B738 (N395DN),,Landed 6:12 PM
