TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
11:57 AM,DL1336,Norfolk (ORF),Delta Air Lines,B739 (N820DN),,Landed 12:10 PM
11:58 AM,DL2368,Asheville (AVL),Delta Air Lines,B712 (N603AT),,Landed 12:10 PM
12:00 PM,DL2326,Jacksonville (JAX),Delta Air Lines,B752 (N556NW),,Landed 11:42 AM
12:00 PM,DL2503,Wilmington (ILM),Delta Air Lines,B712 (N961AT),,Landed 11:28 AM
12:01 PM,F93071,Norfolk (ORF),Frontier (Choo the Pika Livery),A20N (N331FR),,Landed 12:26 PM
12:01 PM,DL9982,Atlanta (ATL),Delta Air Lines,B752 (N685DA),,Landed 1:00 PM
12:02 PM,DL1571,St. Louis (STL),Delta Air Lines,B739 (N883DN),,Landed 11:48 AM
12:02 PM,,Knoxville (TYS),-,S22T (N311CE),,Landed 11:43 AM
12:03 PM,DL1500,Cleveland (CLE),Delta Air Lines,B739 (N812DN),,Landed 11:39 AM
12:04 PM,DL1708,Huntsville (HSV),Delta Air Lines,B712 (N896AT),,Landed 11:46 AM
12:04 PM,DL4835,Knoxville (TYS),Delta Connection,CRJ9 (N691CA),,Landed 1:03 PM
12:05 PM,DL1688,Albuquerque (ABQ),Delta Air Lines,B739 (N841DN),,Landed 11:54 AM
12:05 PM,DL3033,Little Rock (LIT),Delta Air Lines,B712 (N994AT),,Landed 12:02 PM
12:05 PM,WN4608,St. Louis (STL),Southwest Airlines,B738 (N8647A),,Landed 11:52 AM
12:09 PM,DL926,Washington (DCA),Delta Air Lines,A321 (N350DN),,Landed 12:41 PM
12:12 PM,DL1374,Louisville (SDF),Delta Air Lines,B712 (N966AT),,Landed 11:49 AM
12:13 PM,AC8567,Montreal (YUL),Air Canada Express,CRJ9 (C-GJFZ),,Landed 1:52 PM
12:13 PM,DL3186,Memphis (MEM),Delta Air Lines,B739 (N961DZ),,Landed 11:50 AM
12:15 PM,DL1590,Columbia (CAE),Delta Air Lines,B712 (N974AT),,Landed 11:44 AM
12:16 PM,DL5135,Baton Rouge (BTR),Delta Connection,CRJ9 (N306PQ),,Unknown
12:20 PM,DL71,Amsterdam (AMS),Delta Air Lines,A339 (N401DZ),,Landed 12:04 PM
12:20 PM,DL2856,Detroit (DTW),Delta Air Lines,A321 (N392DN),,Landed 1:17 PM
12:21 PM,DL1592,Baltimore (BWI),Delta Air Lines,B739 (N823DN),,Landed 12:12 PM
12:24 PM,DL3047,Myrtle Beach (MYR),Delta Air Lines,B712 (N943AT),,Landed 11:50 AM
12:24 PM,DL5520,Fayetteville (FAY),Delta Connection,CRJ9 (N228PQ),,Landed 12:36 PM
12:25 PM,DL1814,Gulfport (GPT),Delta Air Lines,B712 (N985AT),,Landed 11:57 AM
12:28 PM,DL886,Tucson (TUS),Delta Air Lines,B739 (N888DU),,Landed 12:13 PM
12:28 PM,DL1213,Orlando (MCO),Delta Air Lines,B752 (N6714Q),,Landed 12:31 PM
12:31 PM,DL989,New York (LGA),Delta Air Lines,A321 (N372DN),,Landed 1:23 PM
12:31 PM,DL2836,Miami (MIA),Delta Air Lines,B752 (N553NW),,Landed 12:40 PM
12:33 PM,DL1227,Tampa (TPA),Delta Air Lines,B752 (N823DX),,Landed 12:20 PM
12:33 PM,DL1699,Raleigh-Durham (RDU),Delta Air Lines,A321 (N364DX),,Landed 12:24 PM
12:33 PM,DL2158,Greenville-Spartanburg (GSP),Delta Air Lines,B712 (N944AT),,Landed 1:05 PM
12:35 PM,F91079,Baltimore (BWI),Frontier (Colorado the Bighorn Sheep Livery),A20N (N323FR),,Landed 12:46 PM
12:35 PM,WN1933,Dallas (DAL),Southwest Airlines,B738 (N8617E),,Landed 12:17 PM
12:37 PM,DL5130,Charleston (CRW),Delta Connection,CRJ9 (N331PQ),,Landed 12:15 PM
12:38 PM,DL590,Mexico City (MEX),Delta Air Lines,B738 (N3745B),,Landed 12:16 PM
12:39 PM,DL918,Phoenix (PHX),Delta Air Lines,A321 (N112DN),,Landed 12:32 PM
12:40 PM,DL1585,Houston (IAH),Delta Air Lines,A320 (N365NW),,Landed 12:13 PM
12:41 PM,DL2788,Charlotte (CLT),Delta Air Lines,B712 (N607AT),,Landed 12:29 PM
12:42 PM,DL1089,Fort Myers (RSW),Delta Air Lines,A321 (N321DH),,Landed 12:19 PM
12:42 PM,DL2250,Birmingham (BHM),Delta Air Lines,B739 (N960DZ),,Landed 12:31 PM
12:42 PM,DL2332,Sarasota (SRQ),Delta Air Lines,B739 (N945DZ),,Landed 12:15 PM
12:43 PM,8C3361,Baltimore (BWI),Amazon Air,B763 (N229AZ),,Landed 1:13 PM
12:44 PM,DL907,Salt Lake City (SLC),Delta Air Lines,A21N (N509DT),,Landed 12:33 PM
12:44 PM,DL4930,White Plains (HPN),Delta Connection,CRJ9 (N133EV),,Landed 12:43 PM
12:45 PM,DL35,Edinburgh (EDI),Delta Air Lines,B763 (N1602),,Landed 12:23 PM
12:45 PM,DL83,Paris (CDG),Delta Air Lines,A333 (N820NW),,Landed 12:34 PM
12:45 PM,WN3184,Austin (AUS),Southwest Airlines,B737 (N275WN),,Landed 12:24 PM
12:48 PM,DL1100,Philadelphia (PHL),Delta Air Lines,B739 (N891DN),,Landed 1:09 PM
12:48 PM,DL3035,Daytona Beach (DAB),Delta Air Lines,B739 (N942DZ),,Landed 12:28 PM
12:48 PM,DL4820,Charlottesville (CHO),Delta Connection,CRJ9 (N903XJ),,Landed 1:39 PM
12:49 PM,DL1178,Chicago (ORD),Delta Air Lines,B739 (N884DN),,Landed 12:27 PM
12:50 PM,DL1888,Indianapolis (IND),Delta Air Lines,B739 (N873DN),,Landed 12:31 PM
12:51 PM,DL5372,Evansville (EVV),Delta Connection,CRJ7 (N668CA),,Landed 12:20 PM
12:52 PM,DL1094,Fort Lauderdale (FLL),Delta Air Lines,B752 (N548US),,Landed 3:00 PM
12:52 PM,DL3118,Melbourne (MLB),Delta Air Lines,B712 (N951AT),,Landed 12:25 PM
12:53 PM,DL5129,Roanoke (ROA),Delta Connection,CRJ7 (N368CA),,Landed 12:38 PM
12:54 PM,DL839,Dallas (DFW),Delta Air Lines,A321 (N360DN),,Landed 12:37 PM
12:55 PM,DL5352,Columbus (CSG),Delta Connection,CRJ7 (N376CA),,Landed 12:42 PM
12:56 PM,DL2325,New York (EWR),Delta Air Lines,A321 (N376DN),,Landed 1:27 PM
12:57 PM,DL973,Boston (BOS),Delta Air Lines,A321 (N109DN),,Landed 1:09 PM
12:57 PM,DL1424,New Orleans (MSY),Delta Air Lines,B752 (N557NW),,Landed 2:43 PM
12:58 PM,DL1311,West Palm Beach (PBI),Delta Air Lines,A321 (N339DN),,Landed 12:44 PM
1:00 PM,DL1575,Bentonville (XNA),Delta Air Lines,B712 (N991AT),,Landed 12:51 PM
1:00 PM,DL2321,Augusta (AGS),Delta Air Lines,B712 (N965AT),,Landed 12:56 PM
1:01 PM,DL755,Las Vegas (LAS),Delta Air Lines,A321 (N367DN),,Landed 12:42 PM
1:01 PM,DL3108,Dayton (DAY),Delta Air Lines,B712 (N942AT),,Landed 12:26 PM
1:04 PM,WUP901,Boston (BOS),Wheels Up,C750 (N901UP),,Landed 1:22 PM
1:05 PM,DL1509,Houston (HOU),Delta Air Lines,B712 (N891AT),,Landed 12:43 PM
1:05 PM,DL1743,Knoxville (TYS),Delta Air Lines,A320 (N337NW),,Landed 12:48 PM
1:05 PM,DL2754,Tulsa (TUL),Delta Air Lines,B712 (N893AT),,Landed 12:39 PM
1:05 PM,DL3197,Nashville (BNA),Delta Air Lines,B739 (N950DZ),,Landed 12:52 PM
1:05 PM,DL3220,Savannah (SAV),Delta Air Lines,B739 (N859DN),,Landed 1:30 PM
1:08 PM,NK2469,Tampa (TPA),Spirit Airlines,A321 (N679NK),,Landed 12:47 PM
1:11 PM,DL1841,Kingston (KIN),Delta Air Lines (SkyTeam Livery),B738 (N381DN),,Landed 12:33 PM
1:11 PM,DL4840,Jackson (JAN),Delta Connection,CRJ9 (N901XJ),,Unknown
1:12 PM,F93511,Boston (BOS),Frontier (Brazos the Ridgway's Hawk),A21N (N658FR),,Landed 12:45 PM
1:12 PM,WS1360,Winnipeg (YWG),WestJet,B737 (C-FKIW),,Landed 1:26 PM
1:12 PM,NK2091,Boston (BOS),Spirit Airlines,A320 (N603NK),,Landed 12:18 PM
1:13 PM,DL441,Dallas (DAL),Delta Air Lines,B712 (N892AT),,Landed 12:58 PM
1:13 PM,DL2999,Milwaukee (MKE),Delta Air Lines,B739 (N946DZ),,Landed 12:59 PM
1:15 PM,DL131,Munich (MUC),Delta Air Lines (Vince Dooley Sticker),B764 (N842MH),,Landed 1:01 PM
1:15 PM,WN2894,Houston (HOU),Southwest Airlines,B738 (N8526W),,Landed 1:05 PM
1:16 PM,DL4172,Albany (ABY),Delta Connection,CRJ7 (N776SK),,Landed 12:45 PM
1:16 PM,DL5425,Dothan (DHN),Delta Connection,CRJ9 (N605LR),,Landed 12:55 PM
1:16 PM,DL5817,Hilton Head Island (HHH),Delta Connection,E170 (N860RW),,Landed 1:02 PM
1:20 PM,DL73,Amsterdam (AMS),Delta Air Lines,A359 (N568DZ),,Canceled
1:20 PM,DL993,New York (LGA),Delta Air Lines,A321 (N383DZ),,Landed 1:20 PM
1:20 PM,DL2218,Tallahassee (TLH),Delta Air Lines,B712 (N922AT),,Landed 12:48 PM
1:20 PM,K4243,Anchorage (ANC),DHL,B77L (N774CK),,Landed 1:22 PM
1:21 PM,DL1703,St. Louis (STL),Delta Air Lines,B739 (N809DN),,Landed 1:08 PM
1:21 PM,F916,Montego Bay (MBJ),Frontier (Pike the Otter Livery),A320 (N235FR),,Landed 12:53 PM
1:24 PM,DL1063,Chicago (MDW),Delta Air Lines,B712 (N960AT),,Landed 1:03 PM
1:25 PM,AM978,Monterrey (MTY),Aeromexico Connect,E190 (XA-AEP),,Landed 1:07 PM
1:25 PM,DL82,Memphis (MEM),Delta Air Lines,A319 (N354NB),,Landed 12:57 PM
1:25 PM,DL2471,Kansas City (MCI),Delta Air Lines,B739 (N863DN),,Landed 1:06 PM
1:25 PM,AC7304,Montreal (YUL),Air Canada Cargo,B763 (C-FPCA),,Landed 12:50 PM
1:26 PM,DL4048,Fort Wayne (FWA),Delta Connection,CRJ9 (N809SK),,Landed 1:11 PM
1:28 PM,DL1363,Pittsburgh (PIT),Delta Air Lines,B739 (N938DZ),,Landed 1:12 PM
1:28 PM,DL4095,Aspen (ASE),American Eagle,CRJ7 (N712SK),,Landed 1:25 PM
1:30 PM,WN313,Washington (DCA),Southwest Airlines,B737 (N7879A),,Landed 1:37 PM
1:30 PM,WN1149,Raleigh-Durham (RDU),Southwest Airlines (Nevada One Livery),B738 (N8646B),,Landed 3:11 PM
1:31 PM,DL5365,Jacksonville (OAJ),Delta Connection,CRJ9 (N607LR),,Landed 1:24 PM
1:32 PM,DL1642,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N919AT),,Landed 12:59 PM
1:32 PM,3S585,Los Angeles (LAX),AeroLogic,B77L (D-AALG),,Landed 1:32 PM
1:33 PM,AA3104,Dallas (DFW),American Airlines,A321 (N536UW),,Landed 1:12 PM
1:34 PM,DL1658,Orlando (MCO),Delta Air Lines,B752 (N694DL),,Landed 1:42 PM
1:34 PM,F91157,New York (EWR),Frontier (Abaco the Kirtland's Warbler Livery),A21N (N630FR),,Landed 2:42 PM
1:35 PM,DL33,London (LHR),Delta Air Lines,B764 (N840MH),,Landed 1:19 PM
1:35 PM,DL901,Phoenix (PHX),Delta Air Lines,B752 (N688DL),,Landed 1:27 PM
1:35 PM,DL2206,Greensboro (GSO),Delta Air Lines,B712 (N997AT),,Landed 1:23 PM
1:36 PM,DL1046,Minneapolis (MSP),Delta Air Lines,B739 (N874DN),,Landed 1:28 PM
1:37 PM,VJT878,Malta (MLA),VistaJet,GLEX (9H-VJO),,Landed 1:48 PM
1:39 PM,DL2013,Cancun (CUN),Delta Air Lines,B739 (N899DN),,Landed 1:19 PM
1:39 PM,DL5148,Shreveport (SHV),Delta Connection,CRJ9 (N300PQ),,Landed 1:10 PM
1:40 PM,AM2708,Silao (BJX),Aeromexico Connect,E190 (XA-GAK),,Landed 1:17 PM
1:40 PM,DL109,Madrid (MAD),Delta Air Lines,A333 (N810NW),,Landed 12:51 PM
1:40 PM,DL729,San Diego (SAN),Delta Air Lines,A321 (N342DN),,Landed 1:25 PM
1:42 PM,DL390,Los Angeles (LAX),Delta Air Lines,A21N (N517DN),,Landed 1:29 PM
1:42 PM,UA1848,Chicago (ORD),United Airlines,B737 (N12754),,Landed 1:36 PM
1:42 PM,NK2708,Chicago (ORD),Spirit Airlines,A21N (N710NK),,Landed 1:29 PM
1:43 PM,DL3618,South Bend (SBN),Delta Connection,CRJ9 (N833SK),,Landed 1:51 PM
1:45 PM,DL193,Venice (VCE),Delta Air Lines,B763 (N169DZ),,Landed 1:15 PM
1:45 PM,DL253,Edinburgh (EDI),Delta Air Lines,A332 (N861NW),,Landed 2:02 PM
1:45 PM,DL662,Portland (PDX),Delta Air Lines,B739 (N925DZ),,Landed 1:32 PM
1:45 PM,WN1714,Indianapolis (IND),Southwest Airlines,B737 (N200WN),,Landed 2:31 PM
1:47 PM,DL801,Baltimore (BWI),Delta Air Lines,B752 (N698DL),,Landed 1:43 PM
1:47 PM,DL1823,Cincinnati (CVG),Delta Air Lines,B739 (N943DZ),,Landed 1:44 PM
1:48 PM,DL1281,Key West (EYW),Delta Air Lines,A319 (N326NB),,Landed 1:34 PM
1:49 PM,DL569,Seattle (SEA),Delta Air Lines,B739 (N906DN),,Landed 1:33 PM
1:50 PM,,Tampa (TPA),-,C56X (N777RB),,Landed 1:46 PM
1:52 PM,DL570,San Francisco (SFO),Delta Air Lines,B763 (N179DN),,Landed 1:42 PM
1:52 PM,DL2923,Jacksonville (JAX),Delta Air Lines,B752 (N689DL),,Landed 1:29 PM
1:52 PM,DL2976,Austin (AUS),Delta Air Lines,A321 (N301DV),,Landed 1:35 PM
1:54 PM,DL3045,Panama City (ECP),Delta Air Lines,B739 (N957DZ),,Landed 1:40 PM
1:54 PM,EJA576,Philadelphia (TTN),NetJets,C56X (N576QS),,Landed 2:49 PM
1:55 PM,AF30,Paris (CDG),Air France,B772 (F-GSPA),,Landed 2:34 PM
1:55 PM,5Y8986,Toronto (YYZ),Atlas Air,74F,,Unknown
1:56 PM,DL897,Salt Lake City (SLC),Delta Air Lines,B763 (N194DN),,Landed 2:40 PM
1:56 PM,DL2354,Pensacola (PNS),Delta Air Lines,B739 (N959DZ),,Landed 1:28 PM
1:56 PM,DL2632,Omaha (OMA),Delta Air Lines,A319 (N358NB),,Landed 1:35 PM
1:56 PM,DL2835,Toronto (YYZ),Delta Air Lines,A321 (N381DZ),,Landed 1:41 PM
1:58 PM,DL1248,Harrisburg (MDT),Delta Air Lines,B712 (N953AT),,Landed 1:25 PM
1:59 PM,DL380,Washington (DCA),Delta Air Lines,A321 (N117DX),,Landed 2:39 PM
1:59 PM,SGX715,Norman (OUN),Slate Aviation,CRJ1 (N715AV),,Landed 2:28 PM
2:01 PM,F94347,New York (LGA),Frontier (Stretch the Great Blue Heron Livery),A20N (N334FR),,Landed 3:43 PM
2:02 PM,DL677,Las Vegas (LAS),Delta Air Lines,B752 (N549US),,Landed 1:50 PM
2:02 PM,DL2681,Madison (MSN),Delta Air Lines,B712 (N921AT),,Landed 1:37 PM
2:02 PM,DL5076,Brunswick (BQK),Delta Connection,CRJ7 (N331CA),,Landed 1:45 PM
2:05 PM,WN3550,Orlando (MCO),Southwest Airlines,B738 (N8327A),,Landed 1:57 PM
2:06 PM,DL317,Jackson (JAC),Delta Air Lines,B752 (N693DL),,Landed 2:27 PM
2:06 PM,DL1510,Miami (MIA),Delta Air Lines,B752 (N900PC),,Landed 2:01 PM
2:09 PM,DL721,Santa Ana (SNA),Delta Air Lines,B752 (N713TW),,Landed 2:06 PM
2:10 PM,DL2633,Raleigh-Durham (RDU),Delta Air Lines,B739 (N948DZ),,Landed 2:06 PM
2:12 PM,DL1522,Columbus (CMH),Delta Air Lines,B739 (N941DZ),,Landed 1:57 PM
2:12 PM,DL2270,Philadelphia (PHL),Delta Air Lines,B739 (N825DN),,Landed 2:39 PM
2:12 PM,F92539,Columbus (CMH),Frontier (Hugh the Manatee Livery),A320 (N238FR),,Canceled
2:14 PM,DL1384,Buffalo (BUF),Delta Air Lines,B739 (N885DN),,Landed 1:59 PM
2:14 PM,DL3107,Charleston (CHS),Delta Air Lines,B739 (N932DZ),,Landed 1:46 PM
2:15 PM,DL1147,Chicago (ORD),Delta Air Lines,A321 (N311DN),,Landed 2:12 PM
2:15 PM,WN321,Pittsburgh (PIT),Southwest Airlines,B38M (N8847Q),,Landed 2:04 PM
2:16 PM,DL593,Mexico City (MEX),Delta Air Lines,B738 (N377DE),,Landed 1:38 PM
2:16 PM,DL2397,New York (EWR),Delta Air Lines,A321 (N313DN),,Landed 2:25 PM
2:16 PM,DL4160,Springfield (SGF),Delta Connection,CRJ9 (N816SK),,Landed 2:03 PM
2:17 PM,DL1935,San Antonio (SAT),Delta Air Lines,A320 (N340NW),,Landed 2:04 PM
2:19 PM,DL1637,Wichita (ICT),Delta Air Lines,B712 (N982AT),,Landed 1:54 PM
2:19 PM,DL2951,Windsor Locks (BDL),Delta Air Lines,A320 (N350NA),,Landed 2:00 PM
2:20 PM,DL654,San Jose (SJC),Delta Air Lines,B739 (N869DN),,Landed 1:56 PM
2:20 PM,DL761,Ontario (ONT),Delta Air Lines,A321 (N380DN),,Landed 2:10 PM
2:20 PM,LH444,Frankfurt (FRA),Lufthansa,A333 (D-AIKR),,Landed 2:20 PM
2:21 PM,DL3104,Sarasota (SRQ),Delta Air Lines,B752 (N555NW),,Landed 2:18 PM
2:22 PM,F92897,Detroit (DTW),Frontier (Lone Star the Longhorn Steer Livery),A20N (N347FR),,Landed 4:56 PM
2:24 PM,DL1481,Louisville (SDF),Delta Air Lines,B739 (N936DZ),,Landed 4:27 PM
2:24 PM,DL2188,Detroit (DTW),Delta Air Lines,B752 (N820DX),,Landed 2:52 PM
2:24 PM,DL2978,Cleveland (CLE),Delta Air Lines,B739 (N947DZ),,Landed 2:17 PM
2:25 PM,DL25,Nice (NCE),Delta Air Lines,B764 (N834MH),,Landed 2:50 PM
2:25 PM,DL141,Brussels (BRU),Delta Air Lines,B763 (N192DN),,Landed 2:46 PM
2:25 PM,DL215,Rome (FCO),Delta Air Lines,A359 (N569DZ),,Landed 2:12 PM
2:25 PM,DL223,Athens (ATH),Delta Air Lines,A339 (N405DX),,Landed 1:51 PM
2:25 PM,DL990,New York (LGA),Delta Air Lines,A321 (N348DN),,Landed 2:37 PM
2:25 PM,DL3153,Birmingham (BHM),Delta Air Lines,B739 (N933DZ),,Landed 2:07 PM
2:25 PM,WN411,Nashville (BNA),Southwest Airlines,B737 (N7750A),,Landed 2:17 PM
2:25 PM,WN444,Chicago (MDW),Southwest Airlines,B737 (N7876A),,Landed 3:25 PM
2:26 PM,DL1587,Tampa (TPA),Delta Air Lines,A321 (N326DN),,Landed 3:10 PM
2:27 PM,NK2467,Miami (MIA),Spirit Airlines,A320 (N697NK),,Landed 3:18 PM
2:28 PM,DL961,Dallas (DFW),Delta Air Lines,A321 (N363DN),,Landed 2:11 PM
2:30 PM,DL91,Zurich (ZRH),Delta Air Lines,B763 (N173DZ),,Landed 2:22 PM
2:30 PM,DL1375,Syracuse (SYR),Delta Air Lines,A321 (N331DN),,Landed 2:07 PM
2:30 PM,DL2490,Oklahoma City (OKC),Delta Air Lines,B712 (N936AT),,Landed 2:00 PM
2:30 PM,F91003,Philadelphia (PHL),Frontier (D&A the Hispaniolan Parakeets Livery),A21N (N635FR),,Landed 2:53 PM
2:30 PM,WN826,Phoenix (PHX),Southwest Airlines (Imua One Livery),B38M (N8710M),,Landed 2:18 PM
2:31 PM,DL1271,Fort Lauderdale (FLL),Delta Air Lines,B753 (N589NW),,Landed 2:12 PM
2:31 PM,DL4955,Montgomery (MGM),Delta Connection,CRJ9 (N913XJ),,Landed 2:36 PM
2:31 PM,F93500,Kansas City (MCI),Frontier (Lewis the Greater Sage-Grouse Livery),A20N (N378FR),,Landed 2:24 PM
2:32 PM,DL741,Sacramento (SMF),Delta Air Lines,B739 (N889DN),,Landed 2:26 PM
2:32 PM,NK2270,Philadelphia (PHL),Spirit Airlines (Super Nintendo World Livery),A20N (N986NK),,Landed 2:44 PM
2:33 PM,UA659,Washington (IAD),United Airlines,B737 (N17752),,Landed 2:22 PM
2:34 PM,DL5526,Lafayette (LFT),Delta Connection,CRJ9 (N928XJ),,Landed 2:09 PM
2:35 PM,DL2235,Denver (DEN),Delta Air Lines,A321 (N119DN),,Landed 2:15 PM
2:35 PM,DL3030,Gainesville (GNV),Delta Air Lines,B712 (N930AT),,Landed 2:28 PM
2:35 PM,DL5086,Blountville (TRI),Delta Connection,CRJ9 (N186GJ),,Landed 2:09 PM
2:35 PM,DL5312,Valdosta (VLD),Delta Connection,CRJ7 (N690CA),,Landed 3:08 PM
2:39 PM,DL1527,West Palm Beach (PBI),Delta Air Lines,A321 (N357DN),,Landed 5:15 PM
2:39 PM,DL2755,Norfolk (ORF),Delta Air Lines,B739 (N952DZ),,Landed 2:10 PM
2:39 PM,DL3210,Lexington (LEX),Delta Air Lines,B712 (N895AT),,Landed 2:05 PM
2:40 PM,AM2692,San Luis Potosi (SLP),Aeromexico Connect,E190 (XA-GAH),,Landed 2:21 PM
2:40 PM,DL15,Frankfurt (FRA),Delta Air Lines,A332 (N854NW),,Landed 2:23 PM
2:40 PM,DL177,Dublin (DUB),Delta Air Lines,A333 (N822NW),,Landed 2:20 PM
2:40 PM,DL664,Orlando (MCO),Delta Air Lines,B752 (N544US),,Landed 2:16 PM
2:40 PM,DL2177,Richmond (RIC),Delta Air Lines,B739 (N821DN),,Landed 2:14 PM
2:41 PM,DL1704,Des Moines (DSM),Delta Air Lines,B712 (N608AT),,Landed 2:16 PM
2:41 PM,DL2511,Rochester (ROC),Delta Air Lines,A320 (N319US),,Landed 2:16 PM
2:41 PM,DL2097,Rochester (ROC),Delta Air Lines,320,,Unknown
2:42 PM,DL3040,Little Rock (LIT),Delta Air Lines,B739 (N958DZ),,Landed 2:32 PM
2:42 PM,F93507,Orlando (MCO),Frontier (Wellington the Black-footed Ferret),A20N (N362FR),,Landed 4:54 PM
2:43 PM,DL1191,Daytona Beach (DAB),Delta Air Lines,B738 (N3736C),,Landed 2:50 PM
2:43 PM,DL3057,Asheville (AVL),Delta Air Lines,B712 (N894AT),,Landed 2:29 PM
2:44 PM,DL376,Boston (BOS),Delta Air Lines,A321 (N309DN),,Landed 2:33 PM
2:44 PM,DL1680,Nashville (BNA),Delta Air Lines,B739 (N940DU),,Landed 2:14 PM
2:44 PM,DL1751,Washington (IAD),Delta Air Lines,A319 (N362NB),,Landed 2:38 PM
2:45 PM,DL1153,Fort Myers (RSW),Delta Air Lines,B752 (N699DL),,Landed 2:31 PM
2:45 PM,DL3535,Alexandria (AEX),Delta Connection,CRJ9 (N548CA),,Landed 2:36 PM
2:46 PM,DL1682,Houston (IAH),Delta Air Lines,A320 (N355NW),,Landed 2:34 PM
2:46 PM,AS784,Portland (PDX),Alaska Airlines,B39M (N705AL),,Landed 2:55 PM
2:46 PM,NK2346,Fort Lauderdale (FLL),Spirit Airlines,A21N (N741NK),,Landed 2:49 PM
2:48 PM,DL515,Los Angeles (LAX),Delta Air Lines,B753 (N581NW),,Landed 2:45 PM
2:48 PM,DL1963,Cancun (CUN),Delta Air Lines,B739 (N803DN),,Landed 2:25 PM
2:50 PM,DL1813,Myrtle Beach (MYR),Delta Air Lines,A319 (N343NB),,Landed 2:27 PM
2:52 PM,DL4935,Chattanooga (CHA),Delta Connection,CRJ7 (N354CA),,Landed 3:30 PM
2:54 PM,AA2910,Chicago (ORD),American Airlines,A319 (N804AW),,Diverted to CLT
2:55 PM,DL2147,Grand Rapids (GRR),Delta Air Lines,B739 (N934DZ),,Landed 2:31 PM
2:55 PM,DL3068,Huntsville (HSV),Delta Air Lines,B712 (N967AT),,Landed 2:30 PM
2:56 PM,DL3185,Jackson (JAN),Delta Air Lines,B712 (N988AT),,Landed 2:27 PM
2:58 PM,DL2342,New York (JFK),Delta Air Lines,B752 (N673DL),,Landed 2:44 PM
2:58 PM,DL2910,Columbia (CAE),Delta Air Lines,B712 (N933AT),,Landed 2:24 PM
3:00 PM,WN3599,New York (LGA),Southwest Airlines,B737 (N949WN),,Landed 3:20 PM
3:00 PM,F97024,Punta Cana (PUJ),Frontier (Hugh the Manatee Livery),A320 (N238FR),,Landed 7:13 PM
3:02 PM,UA2415,Denver (DEN),United Airlines,A320 (N471UA),,Landed 2:43 PM
3:03 PM,UA694,New York (EWR),United Airlines,B739 (N73445),,Landed 3:04 PM
3:05 PM,DL980,Bogota (BOG),Delta Air Lines,B752 (N6705Y),,Landed 2:53 PM
3:05 PM,DL1808,Providence (PVD),Delta Air Lines,A320 (N373NW),,Landed 2:58 PM
3:06 PM,DL2357,Memphis (MEM),Delta Air Lines,B739 (N937DZ),,Landed 2:48 PM
3:06 PM,DL2908,Kansas City (MCI),Delta Air Lines,B739 (N956DZ),,Landed 2:52 PM
3:07 PM,DL1725,Greenville-Spartanburg (GSP),Delta Air Lines,B712 (N998AT),,Landed 2:42 PM
3:07 PM,DL5241,Allentown (ABE),Delta Connection,CRJ9 (N315PQ),,Landed 2:40 PM
3:08 PM,DL2542,New Orleans (MSY),Delta Air Lines,B752 (N6712B),,Landed 4:45 PM
3:10 PM,DL2621,Baton Rouge (BTR),Delta Air Lines,B712 (N923AT),,Landed 2:45 PM
3:10 PM,F92983,Philadelphia (TTN),Frontier (Baja the Whale Shark Livery),A20N (N342FR),,Landed 3:31 PM
3:10 PM,WN392,Baltimore (BWI),Southwest Airlines,B737 (N480WN),,Landed 3:18 PM
3:11 PM,DL640,San Francisco (SFO),Delta Air Lines,B753 (N583NW),,Landed 3:02 PM
3:11 PM,,Abingdon (VJI),-,C680 (N333MG),,Landed 5:41 PM
3:14 PM,DL1146,White Plains (HPN),Delta Air Lines,B712 (N963AT),,Landed 3:33 PM
3:14 PM,DL1627,Mobile (MOB),Delta Air Lines,B712 (N906AT),,Landed 2:46 PM
3:14 PM,AA811,Phoenix (PHX),American Airlines,A321 (N554UW),,Landed 2:56 PM
3:16 PM,DL1179,San Diego (SAN),Delta Air Lines,B753 (N586NW),,Landed 3:21 PM
3:16 PM,DL1892,Albany (ALB),Delta Air Lines,A321 (N334DN),,Landed 3:35 PM
3:16 PM,F93117,Syracuse (SYR),Frontier(Savannah the Yellow-Headed Amazon Livery),A21N (N636FR),,Landed 3:26 PM
3:16 PM,UA6181,Houston (IAH),United Express,E75L (N86309),,Landed 2:48 PM
3:16 PM,8C3342,Cincinnati (CVG),Amazon Air,B763 (N569AZ),,Landed 4:37 PM
3:19 PM,DL1099,Tampa (TPA),Delta Air Lines,B752 (N819DX),,Landed 3:58 PM
3:20 PM,DL9950,San Salvador (SAL),Delta Air Lines,A321 (N382DN),,Landed 3:39 PM
3:20 PM,AC1307,Toronto (YYZ),Air Canada,BCS3 (C-GNGV),,Landed 3:49 PM
3:22 PM,AM2710,Queretaro (QRO),Aeromexico Connect,E190 (XA-DAC),,Landed 2:54 PM
3:25 PM,DL994,New York (LGA),Delta Air Lines,A321 (N374DX),,Landed 3:22 PM
3:25 PM,DL2711,Baltimore (BWI),Delta Air Lines,B752 (N697DL),,Landed 3:04 PM
3:26 PM,DL1115,Dallas (DAL),Delta Air Lines,B712 (N955AT),,Landed 3:12 PM
3:26 PM,DL3013,Indianapolis (IND),Delta Air Lines,B739 (N951DX),,Landed 2:57 PM
