TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
4:11 PM,DL1783,Indianapolis (IND),Delta Air Lines,B739 (N956DZ),Departed 5:06 PM
4:11 PM,DL5529,Lafayette (LFT),Delta Connection,CRJ9 (N136EV),Departed 5:19 PM
4:13 PM,DL1323,Miami (MIA),Delta Air Lines,B752 (N685DA),Departed 6:46 PM
4:13 PM,DL1972,Knoxville (TYS),Delta Air Lines,B712 (N963AT),Departed 5:16 PM
4:15 PM,DL214,Rome (FCO),Delta Air Lines,A359 (N569DZ),Departed 5:13 PM
4:15 PM,WN484,Chicago (MDW),Southwest Airlines,B738 (N8577Z),Departed 5:15 PM
4:16 PM,UA235,Denver (DEN),United Airlines,A320 (N471UA),Departed 5:21 PM
4:20 PM,DL270,Barcelona (BCN),Delta Air Lines,B763 (N1602),Departed 5:48 PM
4:20 PM,DL4993,Valdosta (VLD),Delta Connection,CRJ9 (N133EV),Canceled
4:21 PM,DL1329,Philadelphia (PHL),Delta Air Lines,A321 (N314DN),Departed 6:51 PM
4:25 PM,DL472,Seattle (SEA),Delta Air Lines,B753 (N581NW),Departed 5:26 PM
4:25 PM,DL924,San Diego (SAN),Delta Air Lines,B753 (N589NW),Departed 5:36 PM
4:25 PM,DL1425,Tampa (TPA),Delta Air Lines,B763 (N192DN),Departed 5:33 PM
4:25 PM,DL1470,Kansas City (MCI),Delta Air Lines,B739 (N937DZ),Departed 5:30 PM
4:25 PM,DL1791,San Juan (SJU),Delta Air Lines,B752 (N6705Y),Departed 5:54 PM
4:25 PM,DL2600,Raleigh-Durham (RDU),Delta Air Lines,B752 (N819DX),Departed 6:45 PM
4:25 PM,F92912,Tampa (TPA),Frontier (Baja the Whale Shark Livery),A20N (N342FR),Departed 6:21 PM
4:28 PM,DL1905,Panama City (PTY),Delta Air Lines,B739 (N803DN),Departed 6:23 PM
4:29 PM,DL2128,Wichita (ICT),Delta Air Lines,B712 (N989AT),Departed 5:34 PM
4:30 PM,AF31,Paris (CDG),Air France,B772 (F-GSPA),Departed 5:26 PM
4:30 PM,DL2214,Nashville (BNA),Delta Air Lines,B739 (N811DZ),Departed 5:42 PM
4:31 PM,DL1681,Memphis (MEM),Delta Air Lines,B739 (N951DX),Departed 5:24 PM
4:32 PM,NK2460,Orlando (MCO),Spirit Airlines,A21N (N730NK),Unknown
4:33 PM,DL5185,Monroe (MLU),Delta Connection,CRJ9 (N133EV),Estimated dep. 9:45 PM
4:34 PM,AA3299,Chicago (ORD),American Airlines,A319 (N824AW),Estimated dep. 9:15 PM
4:34 PM,F94874,Fort Lauderdale (FLL),Frontier(Savannah the Yellow-Headed Amazon Livery),A21N (N636FR),Departed 5:40 PM
4:35 PM,AA1008,Dallas (DFW),American Airlines,A21N (N438AN),Departed 6:46 PM
4:36 PM,DL2780,Dallas (DAL),Delta Air Lines,B712 (N946AT),Departed 5:17 PM
4:37 PM,DL2050,Buffalo (BUF),Delta Air Lines,A321 (N357DN),Unknown
4:40 PM,DL2466,New York (JFK),Delta Air Lines,B763 (N171DZ),Unknown
4:40 PM,DL3965,Albany (ABY),Delta Connection,CRJ9 (N822SK),Departed 5:30 PM
4:40 PM,DL2314,Greensboro (GSO),Delta Air Lines,A319 (N315NB),Unknown
4:43 PM,DL1173,Milwaukee (MKE),Delta Air Lines,B738 (N3735D),Departed 7:22 PM
4:44 PM,DL1254,Houston (HOU),Delta Air Lines,B712 (N994AT),Departed 6:07 PM
4:45 PM,DL301,Los Angeles (LAX),Delta Air Lines,B763 (N194DN),Departed 6:23 PM
4:45 PM,DL1295,Fort Lauderdale (FLL),Delta Air Lines,B752 (N669DN),Departed 6:45 PM
4:45 PM,DL2654,Minneapolis (MSP),Delta Air Lines,B752 (N822DX),Departed 5:32 PM
4:45 PM,DL3043,Melbourne (MLB),Delta Air Lines,B712 (N986AT),Departed 5:37 PM
4:46 PM,DL2211,Pensacola (PNS),Delta Air Lines,B739 (N949DZ),Departed 5:46 PM
4:47 PM,DL950,Washington (DCA),Delta Air Lines,A320 (N339NW),Departed 7:03 PM
4:47 PM,DL2086,Des Moines (DSM),Delta Air Lines,B712 (N961AT),Departed 5:52 PM
4:48 PM,DL517,San Francisco (SFO),Delta Air Lines,B753 (N586NW),Departed 5:44 PM
4:50 PM,DL54,Lagos (LOS),Delta Air Lines,A332 (N854NW),Departed 6:08 PM
4:50 PM,DL1687,Washington (IAD),Delta Air Lines,BCS3 (N332DU),Departed 5:51 PM
4:50 PM,DL1821,Jackson (JAN),Delta Air Lines,B712 (N896AT),Departed 6:09 PM
4:50 PM,DL2067,Detroit (DTW),Delta Air Lines,B752 (N658DL),Departed 6:41 PM
4:50 PM,DL2627,Jacksonville (JAX),Delta Air Lines,A321 (N374DX),Departed 5:25 PM
4:50 PM,DL4863,Evansville (EVV),Delta Connection,CRJ9 (N907XJ),Departed 5:38 PM
4:52 PM,DL1937,Mobile (MOB),Delta Air Lines,B712 (N979AT),Departed 5:40 PM
4:52 PM,NK2173,Houston (IAH),Spirit Airlines,A320 (N629NK),Departed 7:01 PM
4:53 PM,DL519,Denver (DEN),Delta Air Lines,A321 (N127DN),Departed 6:00 PM
4:53 PM,DL2928,Baltimore (BWI),Delta Air Lines,B752 (N6712B),Departed 7:24 PM
4:53 PM,DL5350,Charleston (CRW),Delta Connection,CRJ7 (N669CA),Departed 6:20 PM
4:55 PM,DL3218,Savannah (SAV),Delta Air Lines,B738 (N397DA),Departed 6:49 PM
4:55 PM,5Y8853,Anchorage (ANC),Atlas Air,74F,Unknown
4:56 PM,DL518,Boston (BOS),Delta Air Lines,A321 (N308DN),Departed 5:20 PM
4:56 PM,DL3101,Asheville (AVL),Delta Air Lines,B712 (N974AT),Departed 6:17 PM
4:57 PM,DL2285,Daytona Beach (DAB),Delta Air Lines,B712 (N929AT),Departed 5:41 PM
4:58 PM,DL1539,Tulsa (TUL),Delta Air Lines,B712 (N935AT),Departed 6:14 PM
4:59 PM,DL503,Portland (PDX),Delta Air Lines,B739 (N849DN),Departed 6:05 PM
4:59 PM,DL836,Phoenix (PHX),Delta Air Lines,B752 (N6703D),Departed 6:30 PM
4:59 PM,DL959,West Palm Beach (PBI),Delta Air Lines,A321 (N362DN),Departed 5:57 PM
4:59 PM,DL2379,Chattanooga (CHA),Delta Air Lines,B712 (N943AT),Departed 5:56 PM
4:59 PM,DL3088,Dayton (DAY),Delta Air Lines,B712 (N607AT),Departed 6:14 PM
4:59 PM,AA3932,Washington (DCA),American Eagle,E75L (N282NN),Departed 6:11 PM
5:00 PM,AM2709,Silao (BJX),Aeromexico Connect,E190 (XA-DAC),Departed 5:50 PM
5:00 PM,DL997,New York (LGA),Delta Air Lines,A321 (N120DN),Estimated dep. 10:14 PM
5:00 PM,DL1488,Fort Myers (RSW),Delta Air Lines,B752 (N697DL),Departed 5:32 PM
5:01 PM,DL2060,Chicago (MDW),Delta Air Lines,B712 (N995AT),Departed 5:54 PM
5:01 PM,DL5374,Columbus (CSG),Delta Connection,CRJ7 (N371CA),Departed 5:38 PM
5:03 PM,DL1348,Richmond (RIC),Delta Air Lines,B739 (N955DZ),Departed 6:53 PM
5:03 PM,DL3143,Charlotte (CLT),Delta Air Lines,B752 (N6714Q),Estimated dep. 10:00 PM
5:04 PM,DL1693,Nashville (BNA),Delta Air Lines,B739 (N824DN),Departed 6:02 PM
5:05 PM,DL90,Zurich (ZRH),Delta Air Lines,B763 (N198DN),Canceled
5:05 PM,DL222,Athens (ATH),Delta Air Lines (Team USA Livery),A339 (N411DX),Departed 6:34 PM
5:05 PM,DL1350,Cleveland (CLE),Delta Air Lines,B739 (N911DQ),Departed 5:45 PM
5:05 PM,DL1497,Orlando (MCO),Delta Air Lines,B753 (N592NW),Estimated dep. 10:00 PM
5:08 PM,DL585,Mexico City (MEX),Delta Air Lines,B738 (N386DA),Departed 6:37 PM
5:10 PM,DL3075,Gainesville (GNV),Delta Air Lines,B712 (N980AT),Departed 5:35 PM
5:14 PM,DL1346,Norfolk (ORF),Delta Air Lines,B752 (N6716C),Departed 6:24 PM
5:15 PM,DL130,Munich (MUC),Delta Air Lines,B764 (N839MH),Estimated dep. 10:00 PM
5:15 PM,DL1060,Austin (AUS),Delta Air Lines,A321 (N315DN),Departed 6:16 PM
5:18 PM,DL436,Dallas (DFW),Delta Air Lines,A321 (N305DN),Departed 6:39 PM
5:18 PM,DL1530,Springfield (SGF),Delta Air Lines,B712 (N933AT),Estimated dep. 10:00 PM
5:18 PM,DL1852,Fayetteville (FAY),Delta Air Lines,B712 (N985AT),Departed 6:54 PM
5:18 PM,DL5325,Tallahassee (TLH),Delta Connection,CRJ9 (N903XJ),Departed 7:19 PM
5:20 PM,DL1328,Miami (MIA),Delta Air Lines,B752 (N6713Y),Departed 6:40 PM
5:20 PM,WS1591,Calgary (YYC),WestJet,B738 (C-FZRM),Departed 6:54 PM
5:20 PM,WN400,Indianapolis (IND),Southwest Airlines,B38M (N8706W),Departed 6:44 PM
5:21 PM,DL2786,Columbus (CMH),Delta Air Lines,B739 (N939DZ),Departed 6:27 PM
5:22 PM,DL2176,Pittsburgh (PIT),Delta Air Lines,B738 (N380DA),Unknown
5:22 PM,DL2207,Gulfport (GPT),Delta Air Lines,B712 (N966AT),Departed 6:10 PM
5:22 PM,DL2484,Birmingham (BHM),Delta Air Lines,B739 (N954DZ),Departed 6:43 PM
5:22 PM,DL4988,Jacksonville (OAJ),Delta Connection,CRJ7 (N398CA),Departed 6:39 PM
5:23 PM,DL30,London (LHR),Delta Air Lines (Vince Dooley Sticker),B764 (N842MH),Unknown
5:24 PM,DL1393,St. Louis (STL),Delta Air Lines,B739 (N962DZ),Departed 6:27 PM
5:24 PM,DL2979,Indianapolis (IND),Delta Air Lines,B739 (N927DZ),Departed 6:12 PM
5:24 PM,DL5532,Bentonville (XNA),Delta Connection,CRJ9 (N928XJ),Estimated dep. 9:45 PM
5:26 PM,DL2541,Sarasota (SRQ),Delta Air Lines,B739 (N953DZ),Departed 5:53 PM
5:29 PM,DL4639,Huntsville (HSV),Delta Connection,CRJ9 (N678CA),Canceled
5:30 PM,B6520,New York (JFK),JetBlue,A320 (N636JB),Canceled
5:30 PM,DL72,Amsterdam (AMS),Delta Air Lines,A359 (N568DZ),Departed 6:31 PM
5:30 PM,DL1594,Tampa (TPA),Delta Air Lines,B752 (N556NW),Departed 7:04 PM
5:30 PM,WN1287,Dallas (DAL),Southwest Airlines,B737 (N938WN),Unknown
5:34 PM,DL2879,Chicago (ORD),Delta Air Lines,A321 (N337DN),Departed 6:35 PM
5:35 PM,WN339,Baltimore (BWI),Southwest Airlines,B38M (N8767M),Canceled
5:35 PM,WN8860,Providence (PVD),Southwest Airlines,B38M (N8767M),Departed 7:05 PM
5:37 PM,DL3922,Dothan (DHN),American Eagle,CRJ7 (N712SK),Departed 6:28 PM
5:39 PM,DL3246,Raleigh-Durham (RDU),Delta Air Lines,B739 (N904DN),Departed 7:02 PM
5:40 PM,AA1245,Miami (MIA),American Airlines,B738 (N907NN),Estimated dep. 12:14 AM
5:40 PM,WN2458,Washington (DCA),Southwest Airlines,B737 (N938WN),Estimated dep. 11:11 PM
5:40 PM,,Raleigh-Durham (RDU),-,C550 (N588JK),Departed 6:58 PM
5:41 PM,DL3025,Little Rock (LIT),Delta Air Lines,B712 (N954AT),Estimated dep. 9:45 PM
5:43 PM,DL1292,Louisville (SDF),Delta Air Lines (SkyTeam Livery),B738 (N381DN),Unknown
5:43 PM,DL1871,Charleston (CHS),Delta Air Lines,B739 (N944DZ),Estimated dep. 10:00 PM
5:44 PM,DL3947,Blountville (TRI),Delta Connection,CRJ7 (N776SK),Estimated dep. 5:50 PM
5:45 PM,DL826,Santa Ana (SNA),Delta Air Lines,B752 (N721TW),Departed 6:25 PM
5:45 PM,DL1131,Houston (IAH),Delta Air Lines,A321 (N317DN),Estimated dep. 10:00 PM
5:45 PM,DL1619,Fort Lauderdale (FLL),Delta Air Lines,B752 (N6706Q),Unknown
5:45 PM,DL2815,Key West (EYW),Delta Air Lines,A319 (N355NB),Departed 6:00 PM
5:45 PM,DL4640,Montgomery (MGM),Delta Connection,CRJ9 (N331PQ),Departed 6:21 PM
5:45 PM,DL5169,Baton Rouge (BTR),Delta Connection,CRJ7 (N668CA),Departed 6:18 PM
5:49 PM,DL653,Salt Lake City (SLC),Delta Air Lines,A321 (N371DN),Departed 6:32 PM
5:49 PM,DL1927,New Orleans (MSY),Delta Air Lines,B752 (N6704Z),Departed 6:20 PM
5:50 PM,DL711,Las Vegas (LAS),Delta Air Lines,A321 (N104DN),Estimated dep. 10:00 PM
5:50 PM,DL2193,Columbia (CAE),Delta Air Lines,B712 (N891AT),Estimated dep. 10:00 PM
5:50 PM,DL3178,Myrtle Beach (MYR),Delta Air Lines,B712 (N893AT),Departed 6:48 PM
5:55 PM,DL14,Frankfurt (FRA),Delta Air Lines,A332 (N861NW),Departed 7:13 PM
5:55 PM,DL88,Paris (CDG),Delta Air Lines,B764 (N834MH),Departed 7:26 PM
5:56 PM,DL821,Boston (BOS),Delta Air Lines,A321 (N338DN),Departed 7:28 PM
5:58 PM,DL3007,Greenville-Spartanburg (GSP),Delta Air Lines,B739 (N850DN),Departed 7:20 PM
5:59 PM,DL743,Sacramento (SMF),Delta Air Lines,B739 (N878DN),Departed 6:48 PM
5:59 PM,DL832,Washington (DCA),Delta Air Lines,A320 (N367NW),Estimated dep. 10:00 PM
5:59 PM,DL1079,Windsor Locks (BDL),Delta Air Lines,A321 (N377DN),Estimated dep. 6:40 PM
5:59 PM,DL2136,San Jose (SJC),Delta Air Lines,B739 (N820DN),Departed 6:51 PM
5:59 PM,UA504,San Francisco (SFO),United Airlines,B39M (N17594),Departed 6:29 PM
5:59 PM,DL3042,Knoxville (TYS),Delta Air Lines,B712 (N951AT),Departed 6:56 PM
6:00 PM,DL468,New York (LGA),Delta Air Lines,A321 (N105DX),Estimated dep. 9:45 PM
6:00 PM,DL5247,Roanoke (ROA),Delta Connection,CRJ9 (N607LR),Estimated dep. 9:50 PM
6:05 PM,DL1906,Kingston (KIN),Delta Air Lines,B738 (N378DA),Estimated dep. 10:00 PM
6:06 PM,AA2819,Philadelphia (PHL),American Airlines,A319 (N840AW),Departed 7:00 PM
6:06 PM,DL2939,Memphis (MEM),Delta Air Lines,B738 (N382DA),Estimated dep. 10:00 PM
6:06 PM,DL3219,Savannah (SAV),Delta Air Lines,B739 (N963DZ),Estimated dep. 10:00 PM
6:07 PM,DL2331,Jacksonville (JAX),Delta Air Lines,A321 (N378DN),Departed 6:29 PM
6:10 PM,DL174,Milan (MXP),Delta Air Lines,A333 (N822NW),Departed 7:17 PM
6:10 PM,WN2350,Houston (HOU),Southwest Airlines,B38M (N8716B),Estimated dep. 10:00 PM
6:11 PM,AS783,Portland (PDX),Alaska Airlines,B739 (N448AS),Departed 6:56 PM
6:11 PM,DL1897,Lexington (LEX),Delta Air Lines,B712 (N922AT),Departed 7:06 PM
6:11 PM,DL5282,Augusta (AGS),Delta Connection,CRJ9 (N228PQ),Departed 7:09 PM
6:11 PM,DL5514,Mobile (MOB),Delta Connection,CRJ9 (N924XJ),Departed 6:53 PM
6:13 PM,DL2689,Nashville (BNA),Delta Air Lines,B739 (N960DZ),Estimated dep. 10:00 PM
6:13 PM,DL3059,Pensacola (PNS),Delta Air Lines,B739 (N912DU),Departed 6:57 PM
6:13 PM,DL3176,Jackson (JAN),Delta Air Lines,B712 (N953AT),Estimated dep. 10:00 PM
6:14 PM,NK2572,Las Vegas (LAS),Spirit Airlines,A320 (N698NK),Unknown
6:15 PM,DL1604,Greensboro (GSO),Delta Air Lines,B712 (N991AT),Estimated dep. 10:00 PM
6:15 PM,DL2035,Orlando (MCO),Delta Air Lines,B752 (N668DN),Estimated dep. 10:00 PM
6:15 PM,VS104,London (LHR),Virgin Atlantic,A35K (G-VDOT),Departed 7:11 PM
6:17 PM,DL714,Seattle (SEA),Delta Air Lines,B739 (N868DN),Estimated dep. 10:00 PM
6:19 PM,NK2406,Los Angeles (LAX),Spirit Airlines,A21N (N726NK),Estimated dep. 7:00 PM
6:20 PM,DL2037,Asheville (AVL),Delta Air Lines,B712 (N944AT),Estimated dep. 10:00 PM
6:20 PM,WS1597,Vancouver (YVR),WestJet,B738 (C-GWSZ),Estimated dep. 9:15 PM
6:20 PM,WN1870,Phoenix (PHX),Southwest Airlines,B737 (N204WN),Estimated dep. 9:15 PM
6:20 PM,AA3230,Phoenix (PHX),American Airlines,A321 (N188US),Estimated dep. 6:34 PM
6:22 PM,DL720,Santa Barbara (SBA),Delta Air Lines,BCS3 (N314DU),Estimated dep. 10:15 PM
6:25 PM,DL194,Barcelona (BCN),Delta Air Lines,A333 (N831NW),Estimated dep. 10:00 PM
6:25 PM,DL315,Jackson (JAC),Delta Air Lines,B752 (N554NW),Estimated dep. 10:00 PM
6:25 PM,DL500,Los Angeles (LAX),Delta Air Lines,B752 (N552NW),Departed 7:00 PM
6:25 PM,DL770,Ontario (ONT),Delta Air Lines,A321 (N351DN),Estimated dep. 10:00 PM
6:26 PM,DL3083,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N965AT),Estimated dep. 10:00 PM
6:30 PM,AA1248,Dallas (DFW),American Airlines,A21N (N440AN),Estimated dep. 9:34 PM
6:30 PM,DL712,San Diego (SAN),Delta Air Lines,A321 (N126DN),Estimated dep. 10:00 PM
6:30 PM,DL1457,Tampa (TPA),Delta Air Lines,B752 (N542US),Estimated dep. 9:15 PM
6:32 PM,F93508,Orlando (MCO),Frontier (Rocket the Hammerhead Shark Livery),A20N (N388FR),Unknown
6:34 PM,DL1478,Detroit (DTW),Delta Air Lines,A321 (N316DN),Estimated dep. 10:00 PM
6:35 PM,DL2248,Cincinnati (CVG),Delta Air Lines,B739 (N883DN),Estimated dep. 10:00 PM
6:35 PM,TK6040,Istanbul (IST),Turkish Airlines,74C,Unknown
6:35 PM,WN377,Denver (DEN),Southwest Airlines,B738 (N8638A),Estimated dep. 10:15 PM
6:40 PM,WN314,Austin (AUS),Southwest Airlines,B737 (N474WN),Estimated dep. 10:00 PM
6:45 PM,UA1046,Chicago (ORD),United Airlines,B737 (N39726),Estimated dep. 9:53 PM
6:45 PM,WN459,Tampa (TPA),Southwest Airlines,B737 (N7827A),Estimated dep. 10:00 PM
6:46 PM,DL3053,Panama City (ECP),Delta Air Lines,B712 (N939AT),Departed 7:05 PM
6:50 PM,DL1939,Cancun (CUN),Delta Air Lines,B739 (N897DN),Estimated dep. 9:05 PM
6:52 PM,DL3235,Chattanooga (CHA),Delta Air Lines,B712 (N960AT),Estimated dep. 10:14 PM
6:55 PM,DL2893,San Antonio (SAT),Delta Air Lines,A320 (N351NW),Estimated dep. 10:00 PM
6:55 PM,DL3204,Huntsville (HSV),Delta Air Lines,B712 (N942AT),Estimated dep. 10:00 PM
6:56 PM,DL1736,Fort Myers (RSW),Delta Air Lines,B752 (N706TW),Estimated dep. 10:00 PM
6:58 PM,DL2900,Birmingham (BHM),Delta Air Lines,B712 (N982AT),Estimated dep. 10:00 PM
6:59 PM,DL325,Washington (DCA),Delta Air Lines,A321,Estimated dep. 10:00 PM
6:59 PM,DL746,Denver (DEN),Delta Air Lines,A321 (N373DX),Estimated dep. 10:00 PM
6:59 PM,DL1257,Baltimore (BWI),Delta Air Lines,B752 (N692DL),Estimated dep. 10:00 PM
6:59 PM,DL2065,Philadelphia (PHL),Delta Air Lines,A321 (N302DN),Estimated dep. 10:00 PM
6:59 PM,DL2498,New York (EWR),Delta Air Lines,A321 (N360DN),Estimated dep. 11:20 PM
7:00 PM,DL105,Sao Paulo (GRU),Delta Air Lines,A333 (N805NW),Estimated dep. 10:00 PM
7:00 PM,DL434,New York (LGA),Delta Air Lines,A321 (N128DN),Estimated dep. 10:14 PM
7:02 PM,AA2910,Chicago (ORD),American Airlines,A319 (N717UW),Estimated dep. 9:15 PM
7:05 PM,DL919,Las Vegas (LAS),Delta Air Lines,B739 (N884DN),Estimated dep. 10:00 PM
7:05 PM,DL5203,Knoxville (TYS),Delta Connection,CRJ9 (N300PQ),Estimated dep. 9:40 PM
7:05 PM,F91949,San Francisco (SFO),Frontier (Colorado the Bighorn Sheep Livery),A20N (N323FR),Estimated dep. 10:31 PM
7:06 PM,DL3782,Shreveport (SHV),Delta Connection,CRJ9 (N809SK),Estimated dep. 9:50 PM
7:09 PM,DL108,Madrid (MAD),Delta Air Lines,A333 (N810NW),Estimated dep. 10:44 PM
7:11 PM,B61308,Boston (BOS),JetBlue,BCS3 (N3242J),Estimated dep. 11:27 PM
7:12 PM,DL1280,Minneapolis (MSP),Delta Air Lines,A321 (N322DN),Estimated dep. 10:00 PM
7:15 PM,AA1610,Miami (MIA),American Airlines,A319 (N776XF),Estimated dep. 9:33 PM
7:15 PM,DL2784,Oklahoma City (OKC),Delta Air Lines,A319 (N359NB),Estimated dep. 9:14 PM
7:19 PM,DL1588,Miami (MIA),Delta Air Lines,B752 (N695DL),Estimated dep. 10:00 PM
7:20 PM,DL1861,San Juan (SJU),Delta Air Lines,B752 (N676DL),Estimated dep. 10:00 PM
7:20 PM,DL1518,Raleigh-Durham (RDU),Delta Air Lines,B739 (N959DZ),Estimated dep. 10:00 PM
7:20 PM,NK3182,Fort Lauderdale (FLL),Spirit Airlines,A21N (N717NK),Estimated dep. 8:00 PM
7:21 PM,DL2730,Greenville-Spartanburg (GSP),Delta Air Lines,B739 (N841DN),Estimated dep. 10:55 PM
7:21 PM,DL3139,Charlotte (CLT),Delta Air Lines,B712 (N930AT),Estimated dep. 10:14 PM
7:22 PM,F93923,Las Vegas (LAS),Frontier (Lewis the Greater Sage-Grouse Livery),A20N (N378FR),Estimated dep. 11:04 PM
7:23 PM,UA1475,Houston (IAH),United Airlines,A320 (N451UA),Estimated dep. 9:30 PM
7:24 PM,AA5202,Washington (DCA),American Eagle,CRJ7 (N708PS),Canceled
7:25 PM,DL589,Mexico City (MEX),Delta Air Lines,B738 (N3745B),Estimated dep. 10:14 PM
7:25 PM,DL681,San Francisco (SFO),Delta Air Lines,B739 (N859DN),Estimated dep. 10:00 PM
7:25 PM,DL763,Los Angeles (LAX),Delta Air Lines,A321 (N346DN),Estimated dep. 10:00 PM
7:25 PM,WN322,Nashville (BNA),Southwest Airlines,B38M (N8943Q),Estimated dep. 11:28 PM
7:26 PM,DL1606,West Palm Beach (PBI),Delta Air Lines,A321 (N333DX),Unknown
7:27 PM,DL66,Rome (FCO),Delta Air Lines,A339 (N405DX),Estimated dep. 10:14 PM
7:29 PM,UA2247,New York (EWR),United Airlines,A319 (N817UA),Estimated dep. 11:21 PM
7:30 PM,DL561,Fresno (FAT),Delta Air Lines,B738 (N3772H),Estimated dep. 10:00 PM
7:30 PM,DL2881,Orlando (MCO),Delta Air Lines,B752 (N689DL),Estimated dep. 10:00 PM
7:30 PM,VS110,Manchester (MAN),Virgin Atlantic,A35K (G-VELJ),Estimated dep. 7:40 PM
7:30 PM,QR756,Doha (DOH),Qatar Airways,A35K (A7-ANK),Estimated dep. 7:52 PM
7:30 PM,WN3902,Las Vegas (LAS),Southwest Airlines,B737 (N7828A),Estimated dep. 11:00 PM
7:31 PM,AS334,Seattle (SEA),Alaska Airlines,B739 (N481AS),Estimated dep. 10:30 PM
7:32 PM,DL1130,Kansas City (MCI),Delta Air Lines,B739 (N945DZ),Estimated dep. 10:05 PM
7:32 PM,UA2634,Washington (IAD),United Airlines,A319 (N872UA),Estimated dep. 9:48 PM
7:34 PM,DL1253,Detroit (DTW),Delta Air Lines,B739 (N823DN),Estimated dep. 10:00 PM
7:36 PM,DL2493,Charleston (CHS),Delta Air Lines,B739 (N942DZ),Estimated dep. 10:00 PM
7:39 PM,DL1737,Bentonville (XNA),Delta Air Lines,B712 (N921AT),Estimated dep. 10:14 PM
7:40 PM,DL2210,Grand Rapids (GRR),Delta Air Lines,B739 (N933DZ),Estimated dep. 11:23 PM
7:40 PM,DL2295,Tallahassee (TLH),Delta Air Lines,B712 (N936AT),Estimated dep. 10:00 PM
7:40 PM,DL2378,New York (JFK),Delta Air Lines,B739 (N888DU),Estimated dep. 10:00 PM
7:40 PM,WN416,New York (LGA),Southwest Airlines (Nevada One Livery),B738 (N8646B),Estimated dep. 11:37 PM
7:43 PM,DL691,Portland (PDX),Delta Air Lines,B739 (N898DN),Estimated dep. 10:00 PM
7:45 PM,DL1206,Milwaukee (MKE),Delta Air Lines,B739 (N950DZ),Estimated dep. 11:50 PM
7:45 PM,WN3062,Baltimore (BWI),Southwest Airlines,B737 (N939WN),Canceled
7:47 PM,DL1450,New Orleans (MSY),Delta Air Lines,B752 (N694DL),Estimated dep. 10:22 PM
7:47 PM,DL2669,Toronto (YYZ),Delta Air Lines,A321 (N370DN),Estimated dep. 10:14 PM
7:48 PM,DL819,San Diego (SAN),Delta Air Lines,A321 (N345DN),Estimated dep. 10:00 PM
7:49 PM,DL1170,Austin (AUS),Delta Air Lines,A321 (N321DH),Estimated dep. 10:00 PM
7:50 PM,DL74,Amsterdam (AMS),Delta Air Lines,A333 (N820NW),Estimated dep. 10:40 PM
7:50 PM,DL176,Dublin (DUB),Delta Air Lines,A333 (N817NW),Estimated dep. 10:00 PM
7:50 PM,DL1284,Houston (IAH),Delta Air Lines,A320 (N365NW),Estimated dep. 10:00 PM
7:51 PM,DL660,Salt Lake City (SLC),Delta Air Lines,B753 (N588NW),Estimated dep. 10:00 PM
7:51 PM,DL1507,Colorado Springs (COS),Delta Air Lines,B738 (N373DA),Estimated dep. 10:00 PM
7:52 PM,DL623,Seattle (SEA),Delta Air Lines,B739 (N891DN),Canceled
7:52 PM,DL3093,Louisville (SDF),Delta Air Lines,B739 (N880DN),Estimated dep. 10:14 PM
7:53 PM,DL3166,Richmond (RIC),Delta Air Lines,B752 (N553NW),Estimated dep. 10:00 PM
7:54 PM,DL1545,Columbus (CMH),Delta Air Lines,B738 (N375DA),Estimated dep. 10:05 PM
7:54 PM,F91449,Denver (DEN),Frontier (Rocket the Hammerhead Shark Livery),A20N (N388FR),Canceled
7:55 PM,DL2707,Omaha (OMA),Delta Air Lines,A319 (N338NB),Estimated dep. 10:00 PM
7:55 PM,SK930,Copenhagen (CPH),SAS,A333 (LN-RKT),Estimated dep. 8:13 PM
7:55 PM,DL9892,Amsterdam (AMS),Delta Air Lines,A359 (N507DN),Estimated dep. 10:40 PM
7:56 PM,DL2583,Pittsburgh (PIT),Delta Air Lines,B739 (N943DZ),Estimated dep. 10:00 PM
7:58 PM,DL2765,Windsor Locks (BDL),Delta Air Lines,A321 (N367DN),Estimated dep. 10:00 PM
7:59 PM,DL300,Boston (BOS),Delta Air Lines,A321 (N390DN),Estimated dep. 11:10 PM
7:59 PM,DL391,Reno (RNO),Delta Air Lines,B752 (N900PC),Estimated dep. 10:00 PM
7:59 PM,DL727,Washington (DCA),Delta Air Lines,A321 (N111DC),Estimated dep. 10:00 PM
7:59 PM,DL1489,Fort Lauderdale (FLL),Delta Air Lines,B753 (N584NW),Estimated dep. 10:00 PM
7:59 PM,DL1616,White Plains (HPN),Delta Air Lines,B712 (N894AT),Estimated dep. 10:00 PM
7:59 PM,DL2804,Dallas (DAL),Delta Air Lines,B712 (N906AT),Estimated dep. 11:08 PM
7:59 PM,DL2984,Norfolk (ORF),Delta Air Lines,B752 (N67171),Estimated dep. 11:15 PM
7:59 PM,DL3659,Albany (ABY),Delta Connection,CRJ9 (N822SK),Estimated dep. 11:45 PM
7:59 PM,F93215,Los Angeles (LAX),Frontier Airlines,A21N,Estimated dep. 9:45 PM
8:00 PM,DL490,New York (LGA),Delta Air Lines,A321 (N350DN),Canceled
8:01 PM,DL2659,Cincinnati (CVG),Delta Air Lines,B739 (N881DN),Estimated dep. 10:14 PM
