TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
1:33 PM,DL5159,Chattanooga (CHA),Delta Connection,CRJ7 (N368CA),Departed 1:47 PM
1:34 PM,DL1949,Montego Bay (MBJ),Delta Air Lines,A321 (N336DX),Departed 1:57 PM
1:35 PM,DL1235,Phoenix (PHX),Delta Air Lines,B752 (N823DX),Departed 1:52 PM
1:35 PM,DL5084,Roanoke (ROA),Delta Connection,CRJ7 (N376CA),Departed 2:14 PM
1:40 PM,F94708,Washington (IAD),Frontier (Colorado the Bighorn Sheep Livery),A20N (N323FR),Departed 2:05 PM
1:41 PM,DL2990,Jacksonville (JAX),Delta Air Lines,B752 (N6714Q),Departed 1:51 PM
1:44 PM,DL1031,Detroit (DTW),Delta Air Lines,B752 (N553NW),Departed 2:00 PM
1:45 PM,DL1947,Nassau (NAS),Delta Air Lines,B739 (N841DN),Departed 1:50 PM
1:45 PM,DL2832,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N944AT),Departed 2:16 PM
1:45 PM,DL3133,Gainesville (GNV),Delta Air Lines,B712 (N951AT),Departed 1:56 PM
1:45 PM,DL3152,Richmond (RIC),Delta Air Lines,B739 (N823DN),Departed 1:48 PM
1:46 PM,DL1097,Charlotte (CLT),Delta Air Lines,B712 (N990AT),Departed 1:55 PM
1:47 PM,DL1572,Houston (IAH),Delta Air Lines,A321 (N364DX),Departed 1:50 PM
1:47 PM,DL1865,Nashville (BNA),Delta Air Lines,B739 (N960DZ),Departed 1:55 PM
1:47 PM,DL2837,Cincinnati (CVG),Delta Air Lines,B739 (N888DU),Departed 1:59 PM
1:48 PM,DL1353,Pittsburgh (PIT),Delta Air Lines,B739 (N945DZ),Departed 1:55 PM
1:48 PM,DL2529,Panama City (ECP),Delta Air Lines,B738 (N3745B),Departed 2:06 PM
1:50 PM,DL2799,Baltimore (BWI),Delta Air Lines,A321 (N367DN),Departed 1:58 PM
1:50 PM,WN4159,Nashville (BNA),Southwest Airlines,B737 (N462WN),Departed 5:48 PM
1:51 PM,DL3212,Lexington (LEX),Delta Air Lines,B712 (N965AT),Departed 2:04 PM
1:52 PM,DL2084,Windsor Locks (BDL),Delta Air Lines,A320 (N362NW),Departed 3:06 PM
1:53 PM,DL1051,Norfolk (ORF),Delta Air Lines,B739 (N891DN),Departed 2:22 PM
1:55 PM,DL530,Denver (DEN),Delta Air Lines,A321 (N372DN),Departed 2:59 PM
1:55 PM,CI5254,Dallas (DFW),China Airlines,74Y,Unknown
1:55 PM,DL423,Salt Lake City (SLC),Delta Air Lines,A21N (N509DT),Departed 2:07 PM
1:56 PM,DL838,West Palm Beach (PBI),Delta Air Lines,A321 (N321DH),Departed 2:01 PM
1:56 PM,DL1778,Myrtle Beach (MYR),Delta Air Lines,B712 (N991AT),Departed 2:01 PM
1:57 PM,DL481,Seattle (SEA),Delta Air Lines,B739 (N873DN),Departed 2:09 PM
1:58 PM,DL1720,Tampa (TPA),Delta Air Lines,B752 (N548US),Departed 4:54 PM
1:59 PM,DL2700,St. Louis (STL),Delta Air Lines,B739 (N942DZ),Departed 2:10 PM
2:00 PM,AC8570,Montreal (YUL),Air Canada Express,CRJ9 (C-GJFZ),Departed 2:58 PM
2:00 PM,DL3150,Savannah (SAV),Delta Air Lines,B739 (N884DN),Departed 2:08 PM
2:00 PM,DL3209,Baton Rouge (BTR),Delta Air Lines,B712 (N960AT),Departed 2:11 PM
2:00 PM,DL5830,Hilton Head Island (HHH),Delta Connection,E170 (N860RW),Departed 2:32 PM
2:00 PM,WN435,New Orleans (MSY),Southwest Airlines,B738 (N8526W),Departed 2:15 PM
2:00 PM,,Knoxville (TYS),-,S22T (N311CE),Departed 2:02 PM
2:01 PM,DL843,San Diego (SAN),Delta Air Lines,A321 (N376DN),Departed 2:46 PM
2:01 PM,DL2266,Buffalo (BUF),Delta Air Lines,A321 (N339DN),Departed 2:19 PM
2:03 PM,DL921,Dallas (DFW),Delta Air Lines,A321 (N360DN),Departed 2:08 PM
2:05 PM,DL1372,Orlando (MCO),Delta Air Lines,B752 (N694DL),Departed 3:22 PM
2:05 PM,WS1361,Winnipeg (YWG),WestJet,B737 (C-FKIW),Departed 2:48 PM
2:05 PM,WN313,Austin (AUS),Southwest Airlines,B737 (N7879A),Departed 2:44 PM
2:06 PM,DL512,Dallas (DAL),Delta Air Lines,B712 (N892AT),Departed 2:17 PM
2:06 PM,DL3952,Lafayette (LFT),Delta Connection,CRJ9 (N809SK),Departed 2:18 PM
2:07 PM,DL1989,Blountville (TRI),Delta Air Lines,B712 (N922AT),Departed 2:14 PM
2:07 PM,NK2092,Boston (BOS),Spirit Airlines,A320 (N603NK),Departed 2:44 PM
2:08 PM,DL726,Boston (BOS),Delta Air Lines,A321 (N109DN),Departed 2:38 PM
2:08 PM,DL1979,San Antonio (SAT),Delta Air Lines,A320 (N337NW),Departed 2:16 PM
2:08 PM,DL3927,Montgomery (MGM),American Eagle,CRJ7 (N712SK),Departed 2:37 PM
2:09 PM,DL1832,Asheville (AVL),Delta Air Lines,B712 (N893AT),Departed 2:17 PM
2:10 PM,WN418,Kansas City (MCI),Southwest Airlines (Nevada One Livery),B738 (N8646B),Departed 5:01 PM
2:11 PM,DL2496,Philadelphia (PHL),Delta Air Lines,A321 (N392DN),Departed 2:48 PM
2:11 PM,DL4860,White Plains (HPN),Delta Connection,CRJ9 (N605LR),Departed 2:31 PM
2:13 PM,DL3134,Indianapolis (IND),Delta Air Lines,B739 (N950DZ),Departed 3:28 PM
2:13 PM,DL3928,Augusta (AGS),Delta Connection,CRJ7 (N776SK),Departed 2:26 PM
2:13 PM,NK2561,Fort Lauderdale (FLL),Spirit Airlines,A321 (N679NK),Departed 2:18 PM
2:15 PM,DL1109,Albuquerque (ABQ),Delta Air Lines,B739 (N819DN),Departed 2:26 PM
2:18 PM,DL2545,Cleveland (CLE),Delta Air Lines,B739 (N946DZ),Departed 2:27 PM
2:20 PM,DL1067,Springfield (SGF),Delta Air Lines,B712 (N997AT),Departed 2:31 PM
2:20 PM,DL2381,Houston (HOU),Delta Air Lines,A319 (N354NB),Departed 2:24 PM
2:20 PM,WN1274,Chicago (MDW),Southwest Airlines,B737 (N200WN),Departed 3:44 PM
2:20 PM,3S387,Leipzig (LEJ),AeroLogic,B77L (D-AALG),Departed 3:42 PM
2:21 PM,DL1701,Knoxville (TYS),Delta Air Lines (SkyTeam Livery),B738 (N381DN),Departed 2:31 PM
2:23 PM,DL4886,Bloomington (BMI),Delta Connection,CRJ9 (N607LR),Departed 2:29 PM
2:25 PM,F91403,Houston (IAH),Frontier (Brazos the Ridgway's Hawk),A21N (N658FR),Departed 2:40 PM
2:26 PM,AA3104,Dallas (DFW),American Airlines,A321 (N536UW),Departed 2:32 PM
2:26 PM,DL2825,Minneapolis (MSP),Delta Air Lines,B739 (N809DN),Departed 2:35 PM
2:30 PM,DL524,New York (LGA),Delta Air Lines,A321 (N383DZ),Departed 3:19 PM
2:30 PM,DL1397,Austin (AUS),Delta Air Lines,B739 (N863DN),Departed 2:52 PM
2:33 PM,DL2200,Columbus (CMH),Delta Air Lines,B739 (N938DZ),Departed 2:43 PM
2:33 PM,DL4643,Jackson (JAN),Delta Connection,CRJ9 (N300PQ),Departed 2:51 PM
2:38 PM,UA1831,Washington (IAD),United Airlines,B737 (N12754),Departed 3:13 PM
2:39 PM,F91168,Raleigh-Durham (RDU),Frontier (Abaco the Kirtland's Warbler Livery),A21N (N630FR),Unknown
2:41 PM,DL1186,Tulsa (TUL),Delta Air Lines,B712 (N919AT),Departed 2:50 PM
2:41 PM,DL2312,New York (EWR),Delta Air Lines,B739 (N874DN),Canceled
2:43 PM,DL1739,Chicago (MDW),Delta Air Lines,B712 (N926AT),Departed 2:57 PM
2:45 PM,DL1386,Miami (MIA),Delta Air Lines,B752 (N698DL),Departed 3:49 PM
2:45 PM,DL1413,Fort Lauderdale (FLL),Delta Air Lines,B752 (N688DL),Departed 2:58 PM
2:45 PM,DL2388,Chattanooga (CHA),Delta Air Lines,B712 (N953AT),Departed 2:55 PM
2:45 PM,DL4033,South Bend (SBN),Delta Connection,CRJ9 (N833SK),Departed 3:26 PM
2:45 PM,WN4051,Dallas (DAL),Southwest Airlines,B738 (N8327A),Departed 3:10 PM
2:51 PM,F92634,Baltimore (BWI),Frontier (Sammy the Squirrel Livery),A320 (N232FR),Unknown
2:52 PM,DL1550,Raleigh-Durham (RDU),Delta Air Lines,B739 (N943DZ),Departed 3:14 PM
2:52 PM,DL1695,Washington (IAD),Delta Air Lines,A319 (N358NB),Departed 3:09 PM
2:54 PM,DL2665,Montreal (YUL),Delta Air Lines,A319 (N326NB),Departed 3:14 PM
2:55 PM,AM2693,San Luis Potosi (SLP),Aeromexico Connect,E190 (XA-AEP),Departed 3:12 PM
2:55 PM,DL753,Los Angeles (LAX),Delta Air Lines,B739 (N906DN),Departed 3:09 PM
2:55 PM,DL1734,Toronto (YYZ),Delta Air Lines,A321 (N342DN),Departed 3:24 PM
2:55 PM,DL2539,Greensboro (GSO),Delta Air Lines,B712 (N921AT),Departed 3:00 PM
2:55 PM,WN236,Nashville (BNA),Southwest Airlines,B38M (N8847Q),Departed 4:40 PM
2:57 PM,DL1013,Pensacola (PNS),Delta Air Lines,B752 (N689DL),Departed 3:07 PM
2:57 PM,DL2152,Milwaukee (MKE),Delta Air Lines,A321 (N301DV),Departed 3:05 PM
2:59 PM,DL1110,Fort Myers (RSW),Delta Air Lines,B739 (N925DZ),Departed 3:39 PM
2:59 PM,DL2058,Grand Rapids (GRR),Delta Air Lines,B739 (N899DN),Departed 3:11 PM
2:59 PM,DL2174,Charleston (CHS),Delta Air Lines,B739 (N957DZ),Departed 3:12 PM
3:00 PM,WUP901,Marsh Harbour (MHH),Wheels Up,C750 (N901UP),Departed 3:52 PM
3:00 PM,DL278,Naples (NAP),Delta Air Lines,A332 (N852NW),Departed 3:46 PM
3:01 PM,DL1810,Birmingham (BHM),Delta Air Lines,B739 (N959DZ),Departed 3:08 PM
3:05 PM,DL1150,Orlando (MCO),Delta Air Lines,B752 (N555NW),Departed 6:04 PM
3:05 PM,WN444,Raleigh-Durham (RDU),Southwest Airlines,B737 (N7876A),Departed 5:09 PM
3:07 PM,NK2709,New Orleans (MSY),Spirit Airlines,A21N (N710NK),Departed 4:14 PM
3:07 PM,8C3399,Baltimore (BWI),Amazon Air,B763 (N229AZ),Departed 3:45 PM
3:08 PM,DL2595,Boston (BOS),Delta Air Lines,A21N (N517DN),Departed 3:35 PM
3:10 PM,AM2711,Queretaro (QRO),Aeromexico Connect,E190 (XA-GAK),Departed 3:18 PM
3:10 PM,F94809,San Antonio (SAT),Frontier (Stretch the Great Blue Heron Livery),A20N (N334FR),Departed 6:34 PM
3:10 PM,WN410,New York (LGA),Southwest Airlines,B737 (N7750A),Departed 6:05 PM
3:15 PM,DL1005,Detroit (DTW),Delta Air Lines,A321 (N381DZ),Departed 5:12 PM
3:15 PM,DL1660,Kansas City (MCI),Delta Air Lines,B739 (N948DZ),Departed 3:32 PM
3:15 PM,DL2403,Huntsville (HSV),Delta Air Lines,B712 (N982AT),Departed 3:25 PM
3:15 PM,DL5128,Bentonville (XNA),Delta Connection,CRJ7 (N331CA),Departed 3:23 PM
3:15 PM,DL5246,Allentown (ABE),Delta Connection,CRJ9 (N186GJ),Departed 3:40 PM
3:15 PM,WN609,San Antonio (SAT),Southwest Airlines (Imua One Livery),B38M (N8710M),Departed 3:35 PM
3:17 PM,DL1169,Philadelphia (PHL),Delta Air Lines,B739 (N825DN),Departed 4:51 PM
3:17 PM,DL2047,Rochester (ROC),Delta Air Lines,A320 (N340NW),Departed 3:30 PM
3:18 PM,DL759,Tampa (TPA),Delta Air Lines,B752 (N699DL),Departed 4:07 PM
3:19 PM,DL3115,Sarasota (SRQ),Delta Air Lines,B739 (N932DZ),Departed 3:32 PM
3:20 PM,DL70,Amsterdam (AMS),Delta Air Lines,A339 (N420DX),Departed 3:43 PM
3:20 PM,DL1994,Tallahassee (TLH),Delta Air Lines,B712 (N930AT),Departed 3:59 PM
3:20 PM,DL2398,New York (JFK),Delta Air Lines,B739 (N885DN),Departed 4:09 PM
3:20 PM,DL5266,Charlottesville (CHO),Delta Connection,CRJ7 (N690CA),Departed 5:21 PM
3:21 PM,DL374,Dallas (DFW),Delta Air Lines,A321 (N311DN),Departed 3:49 PM
3:22 PM,DL1839,Providence (PVD),Delta Air Lines,A321 (N313DN),Departed 4:01 PM
3:22 PM,NK2559,Indianapolis (IND),Spirit Airlines,A320 (N697NK),Unknown
3:24 PM,DL488,Portland (PWM),Delta Air Lines,A320 (N350NA),Departed 3:31 PM
3:24 PM,F93021,Dallas (DFW),Frontier (Lone Star the Longhorn Steer Livery),A20N (N347FR),Departed 6:49 PM
3:25 PM,DL1516,Cincinnati (CVG),Delta Air Lines,B739 (N941DZ),Departed 3:38 PM
3:25 PM,DL2862,Oklahoma City (OKC),Delta Air Lines,B712 (N895AT),Departed 3:45 PM
3:25 PM,AC7225,Toronto (YYZ),Air Canada Cargo,B763 (C-FPCA),Departed 3:16 PM
3:26 PM,DL823,San Francisco (SFO),Delta Air Lines,B763 (N173DZ),Departed 6:18 PM
3:26 PM,DL1347,Little Rock (LIT),Delta Air Lines,B738 (N377DE),Departed 3:39 PM
3:26 PM,DL2599,Madison (MSN),Delta Air Lines,B712 (N608AT),Departed 3:36 PM
3:26 PM,DL5314,Alexandria (AEX),Delta Connection,CRJ9 (N913XJ),Departed 4:10 PM
3:27 PM,NK2271,Philadelphia (PHL),Spirit Airlines (Super Nintendo World Livery),A20N (N986NK),Departed 5:37 PM
3:28 PM,DL2720,Jacksonville (JAX),Delta Air Lines,B752 (N900PC),Departed 3:55 PM
3:28 PM,DL2812,Louisville (SDF),Delta Air Lines,B712 (N894AT),Departed 3:39 PM
3:29 PM,DL880,Cleveland (CLE),Delta Air Lines,B739 (N936DZ),Departed 6:48 PM
3:29 PM,F94211,Austin (AUS),Frontier (Choo the Pika Livery),A20N (N331FR),Unknown
3:30 PM,DL433,New York (LGA),Delta Air Lines,A321 (N380DN),Departed 5:35 PM
3:30 PM,DL526,Salt Lake City (SLC),Delta Air Lines,A321 (N348DN),Departed 4:44 PM
3:30 PM,DL1700,Memphis (MEM),Delta Air Lines,B739 (N947DZ),Departed 4:07 PM
3:30 PM,UA516,Chicago (ORD),United Airlines,B737 (N17752),Departed 3:46 PM
3:30 PM,K4243,Miami (MIA),DHL,B77L (N774CK),Departed 4:10 PM
3:30 PM,SGX715,Austin (AUS),Slate Aviation,CRJ1 (N715AV),Departed 5:05 PM
3:30 PM,EJA449,Asheville (AVL),NetJets,E55P (N449QS),Departed 4:11 PM
3:31 PM,DL981,Bogota (BOG),Delta Air Lines,B752 (N693DL),Departed 5:30 PM
3:32 PM,DL1267,Baltimore (BWI),Delta Air Lines,B752 (N820DX),Departed 5:02 PM
3:32 PM,DL2329,Norfolk (ORF),Delta Air Lines,A321 (N326DN),Departed 5:17 PM
3:33 PM,DL1458,West Palm Beach (PBI),Delta Air Lines,A321 (N363DN),Departed 4:02 PM
3:33 PM,DL2892,Columbus (CMH),Delta Air Lines,B739 (N933DZ),Departed 3:42 PM
3:34 PM,AA621,Philadelphia (PHL),American Airlines,A319 (N758US),Estimated dep. 11:50 PM
3:35 PM,DL82,Paris (CDG),Delta Air Lines,A333 (N804NW),Departed 4:03 PM
3:35 PM,DL850,Washington (DCA),Delta Air Lines,A321 (N117DX),Departed 6:37 PM
3:35 PM,DL2690,Syracuse (SYR),Delta Air Lines,A321 (N331DN),Departed 4:05 PM
3:35 PM,DL3564,Fort Wayne (FWA),Delta Connection,CRJ9 (N548CA),Departed 4:20 PM
3:35 PM,F92298,Philadelphia (PHL),Frontier (D&A the Hispaniolan Parakeets Livery),A21N (N635FR),Departed 5:08 PM
3:36 PM,DL1771,New Orleans (MSY),Delta Air Lines,B739 (N869DN),Departed 4:22 PM
3:38 PM,DL5013,White Plains (HPN),Delta Connection,CRJ9 (N491PX),Departed 3:50 PM
3:40 PM,DL151,Lima (LIM),Delta Air Lines,A359 (N570DZ),Departed 4:43 PM
3:40 PM,DL416,Anchorage (ANC),Delta Air Lines,B763 (N169DZ),Departed 4:15 PM
3:40 PM,DL2168,Key West (EYW),Delta Air Lines,A319 (N362NB),Departed 4:45 PM
3:40 PM,WN1469,St. Louis (STL),Southwest Airlines,B737 (N949WN),Departed 5:10 PM
3:41 PM,DL2857,Harrisburg (MDT),Delta Air Lines,A320 (N319US),Departed 4:41 PM
3:42 PM,DL1465,San Antonio (SAT),Delta Air Lines,A321 (N119DN),Departed 4:17 PM
3:42 PM,DL2340,New York (EWR),Delta Air Lines,B739 (N889DN),Canceled
3:42 PM,F93976,Orlando (MCO),Frontier (Wellington the Black-footed Ferret),A20N (N362FR),Departed 6:59 PM
3:43 PM,DL3016,Wilmington (ILM),Delta Air Lines,B712 (N936AT),Departed 3:58 PM
3:44 PM,DL2598,St. Louis (STL),Delta Air Lines,B739 (N952DZ),Departed 4:54 PM
3:45 PM,DL1491,Austin (AUS),Delta Air Lines,A321 (N358DN),Departed 5:28 PM
3:45 PM,DL2345,Fort Lauderdale (FLL),Delta Air Lines,B752 (N544US),Departed 4:05 PM
3:45 PM,DL2981,Minneapolis (MSP),Delta Air Lines,B739 (N821DN),Departed 4:45 PM
3:45 PM,DL3032,Columbia (CAE),Delta Air Lines,B712 (N955AT),Departed 5:11 PM
3:46 PM,DL633,Quito (UIO),Delta Air Lines,B752 (N549US),Departed 5:03 PM
3:46 PM,DL3095,Greenville-Spartanburg (GSP),Delta Air Lines,A319 (N343NB),Departed 4:06 PM
3:47 PM,DL1683,Nashville (BNA),Delta Air Lines,B739 (N958DZ),Departed 5:20 PM
3:47 PM,DL4958,Moline (MLI),Delta Connection,CRJ9 (N315PQ),Departed 4:57 PM
3:47 PM,AS475,San Diego (SAN),Alaska Airlines,B39M (N705AL),Departed 5:11 PM
3:48 PM,DL2738,Chicago (ORD),Delta Air Lines,B738 (N3736C),Departed 5:09 PM
3:49 PM,DL1568,Pittsburgh (PIT),Delta Air Lines,B739 (N940DU),Departed 4:47 PM
3:49 PM,DL2113,Houston (IAH),Delta Air Lines,A321 (N309DN),Departed 5:03 PM
3:50 PM,DL659,Las Vegas (LAS),Delta Air Lines,B752 (N557NW),Departed 4:49 PM
3:50 PM,WN385,Houston (HOU),Southwest Airlines,B737 (N480WN),Departed 5:07 PM
3:51 PM,DL2735,Windsor Locks (BDL),Delta Air Lines,A320 (N355NW),Departed 5:05 PM
3:51 PM,NK2347,Minneapolis (MSP),Spirit Airlines,A21N (N741NK),Departed 5:14 PM
3:53 PM,DL3211,Lexington (LEX),Delta Air Lines,B712 (N998AT),Departed 4:48 PM
3:55 PM,DL2803,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N967AT),Departed 4:41 PM
3:55 PM,DL3758,Shreveport (SHV),Delta Connection,CRJ9 (N816SK),Departed 4:47 PM
3:57 PM,UA6059,Houston (IAH),United Express,E75L (N86309),Departed 4:51 PM
3:59 PM,DL2135,Charlotte (CLT),Delta Air Lines,B712 (N923AT),Departed 5:06 PM
3:59 PM,DL3094,Panama City (ECP),Delta Air Lines,B712 (N906AT),Departed 4:48 PM
4:00 PM,DL1649,Charleston (CHS),Delta Air Lines,B739 (N934DZ),Departed 5:04 PM
4:01 PM,F93724,West Palm Beach (PBI),Frontier (Lewis the Greater Sage-Grouse Livery),A20N (N378FR),Departed 4:56 PM
4:01 PM,AA5067,Charlotte (CLT),American Eagle,CRJ9 (N557NN),Departed 4:53 PM
4:03 PM,DL3158,Richmond (RIC),Delta Air Lines,B752 (N673DL),Departed 4:59 PM
4:03 PM,DL5180,Brunswick (BQK),Delta Connection,CRJ7 (N354CA),Departed 5:10 PM
4:05 PM,DL296,Athens (ATH),Delta Air Lines,A339 (N401DZ),Departed 5:00 PM
4:05 PM,DL1742,Orlando (MCO),Delta Air Lines,B753 (N583NW),Departed 7:07 PM
4:05 PM,DL1895,Albany (ALB),Delta Air Lines,A320 (N373NW),Departed 5:02 PM
4:05 PM,DL2364,Omaha (OMA),Delta Air Lines,B712 (N988AT),Departed 4:50 PM
4:05 PM,LH445,Frankfurt (FRA),Lufthansa,A333 (D-AIKR),Departed 4:58 PM
4:05 PM,AC1308,Toronto (YYZ),Air Canada,BCS3 (C-GNGV),Unknown
4:09 PM,AA2221,Los Angeles (LAX),American Airlines,A321 (N554UW),Departed 4:59 PM
4:09 PM,UA555,New York (EWR),United Airlines,B739 (N73445),Estimated dep. 9:45 PM
4:10 PM,AM979,Monterrey (MTY),Aeromexico Connect,E190 (XA-GAH),Departed 5:13 PM
4:10 PM,DL5537,Augusta (AGS),Delta Connection,CRJ9 (N691CA),Departed 6:01 PM
